,user_id,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,location,default_profile,default_profile_image,profile_banner_url,profile_image_url_https,verified,timestamp,Alvo,age,size_description,in_following_followers,size_sname,size_name,in_number_sname
141,466125372,58,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 03:50:14,1,868,35,0.0,14,1,0.0
142,466126074,118,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 03:51:22,1,872,37,0.0,15,1,0.0
149,466143639,81,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 04:18:40,1,874,78,0.0,14,1,0.0
153,466152441,150,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 04:33:03,1,874,66,0.0,12,1,0.0
156,466154098,121,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 04:35:41,1,872,82,0.0,15,1,0.0
158,466155797,65,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 04:38:13,1,858,79,0.0,13,1,0.0
166,466163583,30,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 04:49:50,1,874,85,0.0,11,1,0.0
170,466175265,105,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:08:45,1,874,70,0.0,14,1,0.0
175,466182757,124,0,0,0,1,1,1,1,1,1,1,1,2012-01-17 05:21:37,1,874,65,0.0,14,1,0.0
176,466183322,50,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:22:34,1,874,72,0.0,12,1,0.0
177,466184623,44,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:24:44,1,874,100,0.0,12,1,0.0
178,466188621,31,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:31:36,1,874,28,0.0,12,1,0.0
179,466189042,127,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:32:19,1,874,73,0.0,13,1,0.0
180,466189857,116,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:33:47,1,874,33,0.0,10,1,0.0
181,466192045,131,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:37:39,1,874,96,0.0,14,1,0.0
182,466192470,54,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:38:24,1,874,46,0.0,13,1,0.0
183,466194674,117,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:42:17,1,870,52,0.0,12,1,0.0
184,466195745,112,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:44:08,1,874,68,0.0,15,1,0.0
188,466200874,143,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 05:53:22,1,874,103,0.0,15,1,0.0
191,466205550,118,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:01:45,1,871,45,0.0,14,1,0.0
196,466212113,41,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:13:24,1,874,80,0.0,13,1,0.0
199,466217028,56,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:22:29,1,874,76,0.0,14,1,0.0
200,466217564,42,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:23:31,1,873,52,0.0,13,1,0.0
202,466220361,41,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:28:43,1,873,34,0.0,14,1,0.0
207,466225850,112,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:38:56,1,874,104,0.0,10,1,0.0
208,466226701,34,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:40:32,1,874,70,0.0,14,1,0.0
209,466226882,156,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:40:50,1,871,69,0.0,13,1,0.0
210,466227486,27,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:41:59,1,872,91,0.0,12,1,0.0
211,466229029,31,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:44:55,1,870,61,0.0,12,1,0.0
213,466232314,38,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:51:16,1,874,38,0.0,12,1,0.0
214,466234508,132,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:55:24,1,874,99,0.0,13,1,0.0
215,466235245,69,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 06:56:49,1,874,63,0.0,13,1,0.0
217,466237339,117,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:00:50,1,872,37,0.0,15,1,0.0
218,466238747,66,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:03:36,1,874,51,0.0,11,1,0.0
220,466239539,62,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:05:02,1,873,46,0.0,13,1,0.0
221,466241419,144,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:08:48,1,874,43,0.0,14,1,0.0
223,466246135,75,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:18:10,1,874,66,0.0,14,1,0.0
225,466247056,57,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:20:06,1,874,74,0.0,14,1,0.0
226,466249274,84,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:24:03,1,874,130,0.0,14,1,0.0
231,466256821,124,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:38:26,1,874,57,0.0,15,1,0.0
232,466257207,57,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:39:05,1,874,28,0.0,14,1,0.0
233,466257969,111,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:40:30,1,872,55,0.0,12,1,0.0
234,466259699,33,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:43:48,1,874,68,0.0,10,1,0.0
237,466264439,64,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:52:38,1,870,85,0.0,15,1,0.0
241,466266821,113,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 07:57:29,1,874,58,0.0,15,1,0.0
247,466278877,16,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 08:21:15,1,864,53,0.0,15,1,0.0
250,466283003,43,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 08:28:48,1,873,42,0.0,12,1,0.0
254,466289763,68,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 08:41:01,1,874,61,0.0,13,1,0.0
255,466291288,115,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 08:43:52,1,874,29,0.0,11,1,0.0
257,466292895,42,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 08:46:46,1,870,53,0.0,14,1,0.0
260,466294714,37,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 08:50:14,1,872,53,0.0,14,1,0.0
261,466295605,66,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 08:51:51,1,874,28,0.0,12,1,0.0
265,466298694,85,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 08:57:30,1,873,85,0.0,12,1,0.0
267,466300701,41,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:01:21,1,874,50,0.0,15,1,0.0
268,466300896,56,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:01:43,1,874,71,0.0,14,1,0.0
270,466303061,103,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:05:41,1,872,92,0.0,10,1,0.0
271,466304146,53,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:07:43,1,874,78,0.0,13,1,0.0
274,466305983,12,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:11:17,1,870,42,0.0,12,1,0.0
276,466308638,117,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:16:21,1,874,68,0.0,12,1,0.0
277,466308751,75,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:16:36,1,874,70,0.0,12,1,0.0
278,466309651,53,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:18:23,1,872,62,0.0,12,1,0.0
279,466310732,62,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:20:20,1,874,55,0.0,14,1,0.0
287,466322512,22,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:41:47,1,874,84,0.0,12,1,0.0
289,466324791,41,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:45:54,1,874,105,0.0,10,1,0.0
291,466326143,43,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:48:16,1,874,39,0.0,14,1,0.0
292,466328816,31,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:52:52,1,874,61,0.0,14,1,0.0
293,466329548,127,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:54:10,1,874,96,0.0,14,1,0.0
294,466330859,48,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:56:36,1,874,55,0.0,15,1,0.0
295,466332009,24,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 09:58:46,1,874,40,0.0,12,1,0.0
296,466334990,21,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:04:27,1,874,82,0.0,13,1,0.0
297,466335221,94,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:04:52,1,867,48,0.0,14,1,0.0
302,466343368,124,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:20:12,1,874,62,0.0,15,1,0.0
303,466352701,77,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:37:54,1,874,69,0.0,13,1,0.0
305,466357272,76,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:46:21,1,871,49,0.0,15,1,0.0
308,466358135,71,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:47:57,1,874,58,0.0,12,1,0.0
309,466359810,70,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:51:03,1,874,100,0.0,12,1,0.0
313,466362716,43,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:56:31,1,873,82,0.0,14,1,0.0
314,466363084,142,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 10:57:11,1,874,81,0.0,9,1,0.0
319,466370213,35,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:10:06,1,873,102,0.0,15,1,0.0
321,466371617,48,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:12:44,1,874,134,0.0,12,1,0.0
322,466372053,46,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:13:30,1,874,40,0.0,15,1,0.0
324,466375110,126,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:18:41,1,872,33,0.0,15,1,0.0
325,466376085,131,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:20:22,1,874,98,0.0,15,1,0.0
326,466376780,38,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:21:37,1,874,59,0.0,14,1,0.0
330,466379768,86,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:26:50,1,874,75,0.0,14,1,0.0
333,466381987,32,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:30:53,1,872,48,0.0,12,1,0.0
335,466383527,39,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:33:36,1,874,37,0.0,13,1,0.0
337,466384281,124,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:34:55,1,873,69,0.0,14,1,0.0
339,466386773,126,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:39:06,1,874,89,0.0,15,1,0.0
341,466387081,128,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:39:37,1,874,74,0.0,15,1,0.0
342,466388338,58,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:41:49,1,874,80,0.0,13,1,0.0
346,466394064,99,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:51:46,1,864,48,0.0,14,1,0.0
347,466394269,39,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:52:06,1,870,61,0.0,14,1,0.0
349,466395997,119,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:55:05,1,874,79,0.0,15,1,0.0
350,466398478,24,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 11:59:17,1,871,102,0.0,13,1,0.0
351,466400012,37,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:01:24,1,870,42,0.0,13,1,0.0
352,466400825,105,0,0,0,1,1,1,1,1,1,1,1,2012-01-17 12:02:35,1,874,109,0.0,15,1,0.0
353,466401624,75,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:03:41,1,874,33,0.0,12,1,0.0
357,466406088,15,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:11:05,1,867,52,0.0,14,1,0.0
363,466409574,21,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:17:07,1,871,59,0.0,14,1,0.0
365,466413855,33,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:24:23,1,874,41,0.0,12,1,0.0
366,466415308,103,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:26:47,1,872,91,0.0,11,1,0.0
376,466426767,107,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:46:46,1,873,80,0.0,13,1,0.0
379,466429038,101,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:50:26,1,871,84,0.0,12,1,0.0
380,466429651,35,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:51:23,1,873,72,0.0,14,1,0.0
381,466430387,77,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:52:35,1,874,51,0.0,12,1,0.0
383,466432166,56,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 12:55:23,1,871,59,0.0,13,1,0.0
394,466444765,24,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 13:16:01,1,871,40,0.0,12,1,0.0
409,466462018,69,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 13:42:34,1,874,31,0.0,13,1,0.0
411,466462817,45,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 13:43:53,1,874,38,0.0,10,1,0.0
412,466463170,113,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 13:44:25,1,874,66,0.0,13,1,0.0
413,466463528,43,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 13:45:01,1,874,46,0.0,14,1,0.0
419,466472496,52,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 13:58:44,1,874,61,0.0,12,1,0.0
420,466473505,31,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 14:00:12,1,874,69,0.0,11,1,0.0
423,466475273,44,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 14:02:53,1,871,39,0.0,12,1,0.0
424,466475858,57,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 14:03:52,1,874,46,0.0,13,1,0.0
428,466479806,46,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 14:09:45,1,874,85,0.0,14,1,0.0
429,466480215,101,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 14:10:19,1,873,82,0.0,15,1,0.0
435,467056238,37,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 03:30:18,1,872,132,0.0,14,1,0.0
437,467059649,110,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 03:35:38,1,873,60,0.0,12,1,0.0
438,467060651,26,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 03:37:09,1,873,39,0.0,11,1,0.0
439,467060783,120,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 03:37:21,1,873,59,0.0,14,1,0.0
440,467061366,45,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 03:38:12,1,872,59,0.0,11,1,0.0
443,467065641,115,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 03:44:47,1,873,128,0.0,13,1,0.0
446,467067671,50,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 03:47:57,1,873,72,0.0,10,1,0.0
448,467069697,46,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 03:51:05,1,870,76,0.0,15,1,0.0
450,467077394,118,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:03:22,1,872,52,0.0,15,1,0.0
452,467079499,36,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:06:54,1,873,55,0.0,12,1,0.0
453,467082134,31,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:11:22,1,873,114,0.0,13,1,0.0
455,467084434,59,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:15:12,1,870,69,0.0,13,1,0.0
463,467092868,62,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:29:07,1,873,58,0.0,15,1,0.0
474,467102366,25,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:44:13,1,873,62,0.0,13,1,0.0
478,467106023,45,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:49:56,1,870,138,0.0,11,1,0.0
482,467109178,112,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:55:09,1,869,46,0.0,14,1,0.0
483,467110763,129,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 04:57:43,1,873,54,0.0,15,1,0.0
492,467117750,41,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:10:01,1,873,65,0.0,14,1,0.0
493,467119810,134,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:13:43,1,873,103,0.0,14,1,0.0
496,467123168,32,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:19:55,1,873,63,0.0,15,1,0.0
497,467123525,114,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:20:31,1,873,80,0.0,14,1,0.0
498,467124165,143,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:21:40,1,873,68,0.0,13,1,0.0
500,467124670,133,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:22:37,1,873,108,0.0,15,1,0.0
502,467126150,71,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:25:19,1,873,101,0.0,11,1,0.0
504,467126825,75,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:26:25,1,873,17,0.0,15,1,0.0
505,467128482,45,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:29:16,1,872,65,0.0,12,1,0.0
509,467131009,45,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:33:46,1,873,75,0.0,12,1,0.0
512,467133470,122,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:38:04,1,873,39,0.0,15,1,0.0
515,467135461,38,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:41:38,1,873,37,0.0,12,1,0.0
516,467135856,100,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:42:22,1,870,106,0.0,12,1,0.0
518,467136996,55,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:44:32,1,873,46,0.0,13,1,0.0
522,467142582,52,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:54:57,1,873,51,0.0,14,1,0.0
523,467143029,44,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:55:43,1,869,60,0.0,15,1,0.0
526,467144458,65,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:58:32,1,871,46,0.0,11,1,0.0
527,467145195,46,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 05:59:52,1,870,66,0.0,13,1,0.0
531,467147087,57,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:03:33,1,873,53,0.0,11,1,0.0
534,467149516,130,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:08:08,1,873,38,0.0,12,1,0.0
536,467152720,103,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:14:19,1,871,90,0.0,12,1,0.0
537,467153239,58,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:15:18,1,873,111,0.0,12,1,0.0
538,467153925,47,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:16:37,1,868,66,0.0,12,1,0.0
541,467156950,107,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:22:28,1,868,61,0.0,13,1,0.0
542,467157688,128,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:23:46,1,873,77,0.0,12,1,0.0
543,467157882,33,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:24:08,1,872,118,0.0,13,1,0.0
547,467162901,54,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:33:15,1,873,45,0.0,12,1,0.0
548,467164236,64,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:35:42,1,872,48,0.0,11,1,0.0
553,467176923,40,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 06:59:26,1,872,60,0.0,14,1,0.0
555,467178690,33,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:02:48,1,873,63,0.0,15,1,0.0
561,467185497,61,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:16:24,1,872,39,0.0,15,1,0.0
562,467186118,67,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:17:40,1,873,51,0.0,15,1,0.0
563,467187664,37,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:20:48,1,870,67,0.0,14,1,0.0
565,467189683,85,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:24:47,1,873,55,0.0,13,1,0.0
568,467191312,164,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:27:58,1,872,64,0.0,10,1,0.0
570,467193516,110,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:32:24,1,873,85,0.0,14,1,0.0
571,467194119,57,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:33:38,1,873,93,0.0,14,1,0.0
573,467194846,139,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:35:05,1,873,43,0.0,13,1,0.0
581,467199549,80,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:44:55,1,873,133,0.0,13,1,0.0
582,467200089,46,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:46:05,1,872,97,0.0,13,1,0.0
584,467200465,62,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:46:51,1,873,46,0.0,13,1,0.0
587,467201459,72,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:48:50,1,872,79,0.0,12,1,0.0
591,467203615,72,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:53:13,1,872,28,0.0,14,1,0.0
592,467203990,73,0,0,0,0,1,1,1,1,1,1,1,2012-01-18 07:53:58,1,873,69,0.0,10,1,0.0
597,467999325,48,0,0,0,0,1,1,1,1,1,1,1,2012-01-19 03:22:40,1,872,65,0.0,12,1,0.0
598,468004034,112,0,0,0,0,1,1,1,1,1,1,1,2012-01-19 03:30:37,1,872,117,0.0,15,1,0.0
602,468014280,78,0,0,0,0,1,1,1,1,1,1,1,2012-01-19 03:47:44,1,872,74,0.0,14,1,0.0
603,468016342,128,0,0,0,0,1,1,1,1,1,1,1,2012-01-19 03:51:06,1,872,74,0.0,15,1,0.0
606,468022909,69,0,0,0,0,1,1,1,1,1,1,1,2012-01-19 04:02:28,1,870,71,0.0,14,1,0.0
607,468025547,55,0,0,0,0,1,1,1,1,1,1,1,2012-01-19 04:06:57,1,872,65,0.0,12,1,0.0
609,468029740,43,0,0,0,0,1,1,1,1,1,1,1,2012-01-19 04:13:47,1,872,55,0.0,11,1,0.0
