,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,location,default_profile,default_profile_image,profile_banner_url,profile_image_url_https,verified,age,in_following_followers,n_number_sname,size_sname,size_description,size_name,in_number_sname,Alvo,n_retweet_mean,n_favorite_mean,n_hashtags_mean,n_urls_mean,n_mentions_mean,media_size_twitter,dp_size_twitter,in_tweets_reply,n_tweet_dia,max_count_tweet_dia,count_dias_tweet,in_tweet_dia
19,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,34,13,0.0,1,0.955,0.38,0.1,0.02,0.005,85.92,28.112799999999996,0,2,22,97,2.0618556701030926
20,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,38,16,0.0,1,2.155,0.185,0.035,0.02,0.005,86.795,28.3491,0,9,18,101,1.9801980198019802
21,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,56,14,0.0,1,1.325,0.255,0.13,0.01,0.01,86.65,29.566499999999998,0,2,17,97,2.0618556701030926
22,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,59,13,0.0,1,0.69,0.18,0.12,0.035,0.02,86.135,29.851750000000003,0,2,24,88,2.272727272727273
23,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,64,16,0.0,1,0.09,0.165,0.035,0.015,0.0,84.16,29.714399999999998,0,16,17,94,2.127659574468085
24,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,1,15,71,15,0.06666666666666667,1,1.18,0.15,0.125,0.005,0.015,93.3,28.017000000000003,0,1,20,102,1.9607843137254901
25,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,39,15,0.0,1,0.175,0.16,0.095,0.025,0.005,82.445,29.089449999999996,1,11,15,99,2.0202020202020203
26,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,50,15,0.0,1,1.01,0.39,0.145,0.025,0.01,90.225,29.429499999999997,0,1,17,99,2.0202020202020203
27,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,133,16,0.0,1,0.655,0.23,0.035,0.01,0.005,84.535,26.191750000000003,0,3,22,98,2.0408163265306123
28,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,84,14,0.0,1,0.54,0.545,0.09,0.01,0.015,90.15,27.468999999999998,0,9,17,103,1.941747572815534
29,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,25,13,0.0,1,1.975,0.25,0.07,0.025,0.005,87.33,29.239799999999995,0,2,16,102,1.9607843137254901
30,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,62,15,0.0,1,0.105,0.235,0.065,0.03,0.0,89.11,29.22,0,3,19,102,1.9607843137254901
31,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,68,14,0.0,1,0.08,0.235,0.085,0.03,0.0,85.115,29.258450000000003,0,1,13,105,1.9047619047619047
32,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,81,14,0.0,1,2.34,0.255,0.17,0.025,0.02,87.225,28.879500000000004,0,1,17,102,1.9607843137254901
33,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,134,13,0.0,1,0.73,0.295,0.065,0.035,0.015,88.71,27.988699999999998,0,1,22,95,2.1052631578947367
34,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,13,48,12,0.15384615384615385,1,2.385,0.58,0.115,0.015,0.005,88.23,28.5192,0,4,14,103,1.941747572815534
35,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,79,15,0.0,1,0.095,0.21,0.055,0.01,0.0,92.65,26.487,0,2,21,91,2.197802197802198
36,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,22,15,0.0,1,0.32,0.665,0.05,0.02,0.0,88.7,27.366999999999997,0,2,15,106,1.8867924528301887
37,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,76,14,0.0,1,0.755,0.285,0.115,0.02,0.015,89.385,27.734250000000003,0,1,23,100,2.0
38,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,59,16,0.0,1,0.925,0.26,0.07,0.01,0.01,87.54,29.496199999999998,0,3,18,106,1.8867924528301887
39,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,117,14,0.0,1,0.045,0.14,0.075,0.025,0.0,89.965,26.434649999999998,0,3,28,94,2.127659574468085
40,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,35,15,0.0,1,0.095,0.22,0.055,0.04,0.0,90.59,28.7841,0,2,25,99,2.0202020202020203
41,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,37,16,0.0,1,0.635,0.115,0.12,0.02,0.005,89.075,27.608,0,1,20,89,2.247191011235955
42,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,78,15,0.0,1,0.56,0.465,0.08,0.015,0.01,92.265,26.378249999999998,0,1,19,94,2.127659574468085
43,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,66,13,0.0,1,0.215,0.35,0.07,0.03,0.0,85.73,28.4665,0,2,18,103,1.941747572815534
44,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,82,16,0.0,1,10.585,0.22,0.035,0.015,0.005,89.795,28.337049999999998,0,2,15,105,1.9047619047619047
45,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,79,14,0.0,1,0.225,0.415,0.075,0.025,0.0,87.785,27.335,0,4,18,101,1.9801980198019802
46,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,11,85,12,0.0,1,0.02,0.015,0.075,0.02,0.0,86.42,27.823600000000003,0,1,22,92,2.1739130434782608
47,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,70,15,0.0,1,0.28,0.45,0.035,0.02,0.0,89.59,28.0759,0,1,25,98,2.0408163265306123
48,duzentos,0,0,0,1,0,1,0,0,0,1,0,> 2 years,0.0,0,14,65,15,0.0,1,0.18,0.35,0.055,0.04,0.0,87.57,27.571399999999997,0,2,15,105,1.9047619047619047
49,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,72,13,0.0,1,2.17,0.2,0.175,0.035,0.035,88.885,27.845,0,2,18,94,2.127659574468085
50,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,100,13,0.0,1,1.42,0.315,0.135,0.015,0.025,92.805,25.19305,0,3,23,97,2.0618556701030926
51,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,28,13,0.0,1,0.01,0.01,0.055,0.02,0.0,90.625,30.2975,0,3,20,100,2.0
52,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,73,14,0.0,1,12.0,0.46,0.045,0.015,0.015,92.4,27.39,0,9,17,107,1.8691588785046729
53,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,10,33,11,0.0,1,1.31,0.305,0.135,0.015,0.015,85.795,26.126800000000003,1,1,21,95,2.1052631578947367
54,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,96,15,0.0,1,0.795,0.3,0.08,0.03,0.005,83.95,28.49,0,19,19,106,1.8867924528301887
55,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,46,14,0.0,1,0.81,0.315,0.105,0.02,0.005,87.24,30.1672,0,1,18,102,1.9607843137254901
56,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,52,13,0.0,1,0.085,0.13,0.075,0.015,0.0,90.045,28.49815,0,2,17,104,1.9230769230769231
57,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,68,16,0.0,1,0.35,0.745,0.045,0.01,0.0,87.265,27.27825,0,1,19,102,1.9607843137254901
58,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,103,11,0.0,1,11.79,0.84,0.075,0.03,0.03,83.705,27.9355,0,1,25,88,2.272727272727273
59,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,45,15,0.0,1,2.87,0.36,0.07,0.025,0.01,87.715,28.812150000000003,0,4,14,104,1.9230769230769231
60,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,80,14,0.0,1,0.015,0.01,0.04,0.005,0.0,90.06,25.4054,0,17,25,90,2.2222222222222223
61,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,14,76,13,0.14285714285714285,1,0.125,0.365,0.05,0.01,0.0,89.81,26.942899999999998,0,1,22,91,2.197802197802198
62,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,52,14,0.0,1,0.835,0.25,0.12,0.01,0.005,86.89,27.2445,0,3,20,99,2.0202020202020203
63,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,34,15,0.0,1,0.105,0.21,0.04,0.04,0.0,84.58,28.395799999999998,0,1,18,102,1.9607843137254901
64,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,10,104,11,0.0,1,0.17,0.325,0.05,0.025,0.0,84.62,26.522799999999997,0,21,22,99,2.0202020202020203
65,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,70,15,0.0,1,0.005,0.01,0.065,0.01,0.0,90.76,26.342399999999998,0,26,26,94,2.127659574468085
66,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,69,14,0.0,1,0.475,0.645,0.09,0.025,0.01,91.9,27.753999999999998,0,8,17,103,1.941747572815534
67,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,91,13,0.0,1,0.075,0.135,0.05,0.03,0.0,89.29,28.221299999999996,0,1,19,98,2.0408163265306123
68,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,61,13,0.0,1,0.63,0.235,0.11,0.02,0.02,89.615,30.204250000000002,0,3,24,95,2.1052631578947367
69,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,38,13,0.0,1,0.005,0.005,0.08,0.04,0.0,87.865,30.136350000000004,0,19,19,95,2.1052631578947367
70,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,99,14,0.0,1,2.625,0.345,0.17,0.015,0.02,87.23,28.4423,2,12,18,104,1.9230769230769231
71,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,63,14,0.0,1,0.19,0.335,0.095,0.01,0.005,87.92,28.9608,1,2,19,98,2.0408163265306123
72,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,37,16,0.0,1,0.145,0.225,0.045,0.01,0.0,89.765,25.80325,0,2,21,100,2.0
73,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,11,51,12,0.0,1,0.275,0.45,0.09,0.025,0.0,90.465,29.108950000000004,0,1,18,97,2.0618556701030926
74,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,46,14,0.0,1,0.83,0.165,0.105,0.025,0.005,86.69,28.287599999999998,0,3,20,104,1.9230769230769231
75,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,43,15,0.0,1,0.1,0.22,0.07,0.03,0.0,87.655,29.231550000000002,0,17,17,98,2.0408163265306123
76,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,66,15,0.0,1,0.115,0.28,0.095,0.03,0.0,88.42,29.6826,0,3,19,103,1.941747572815534
77,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,74,15,0.0,1,0.105,0.185,0.105,0.015,0.0,88.015,26.77605,0,3,21,100,2.0
78,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,130,15,0.0,1,2.315,0.72,0.06,0.03,0.005,88.735,30.037650000000003,0,2,20,103,1.941747572815534
79,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,57,17,0.0,1,2.48,0.405,0.145,0.03,0.015,87.905,27.1388,0,2,19,104,1.9230769230769231
80,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,14,28,13,0.14285714285714285,1,1.84,0.225,0.135,0.025,0.01,89.445,27.640550000000005,0,2,17,100,2.0
81,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,55,13,0.0,1,1.96,0.31,0.07,0.035,0.01,85.98,28.619600000000002,0,2,20,97,2.0618556701030926
82,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,10,68,11,0.0,1,0.005,0.015,0.05,0.02,0.0,86.72,26.842799999999997,0,15,16,98,2.0408163265306123
83,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,15,85,14,0.13333333333333333,1,0.33,0.485,0.065,0.02,0.005,92.75,28.91,0,18,18,106,1.8867924528301887
84,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,15,58,14,0.13333333333333333,1,0.795,0.7,0.05,0.015,0.005,85.485,26.075,0,2,21,100,2.0
85,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,53,16,0.0,1,0.91,0.485,0.08,0.01,0.015,88.01,28.200599999999998,0,1,16,94,2.127659574468085
86,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,12,42,11,0.16666666666666666,1,0.09,0.175,0.085,0.02,0.0,88.935,25.395,0,23,23,101,1.9801980198019802
87,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,61,14,0.0,1,0.635,0.225,0.11,0.025,0.005,91.44,27.6344,0,3,24,96,2.0833333333333335
88,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,11,29,12,0.0,1,0.625,0.165,0.07,0.005,0.01,88.025,25.836,1,2,18,107,1.8691588785046729
89,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,53,15,0.0,1,1.14,0.6,0.085,0.025,0.01,88.285,28.905,0,1,21,92,2.1739130434782608
90,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,53,15,0.0,1,1.805,0.265,0.095,0.015,0.01,87.415,27.6033,0,2,19,95,2.1052631578947367
91,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,28,13,0.0,1,2.375,0.34,0.175,0.01,0.02,87.83,28.405099999999997,0,2,19,98,2.0408163265306123
92,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,85,13,0.0,1,0.56,0.425,0.07,0.025,0.005,85.415,27.16915,0,2,16,102,1.9607843137254901
93,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,50,16,0.0,1,0.12,0.315,0.055,0.015,0.0,93.905,26.705949999999998,0,2,16,102,1.9607843137254901
94,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,71,15,0.0,1,0.075,0.18,0.06,0.01,0.0,88.98,27.22,0,2,19,99,2.0202020202020203
95,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,10,92,18,0.0,1,0.495,0.58,0.065,0.015,0.04,87.21,29.5526,0,1,20,107,1.8691588785046729
96,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,78,14,0.0,1,0.16,0.23,0.075,0.015,0.005,84.42,27.317800000000002,0,2,23,96,2.0833333333333335
97,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,42,13,0.0,1,0.01,0.005,0.05,0.01,0.0,88.125,28.155,0,2,22,94,2.127659574468085
98,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,68,13,0.0,1,1.88,0.31,0.16,0.045,0.015,88.415,29.20915,0,1,21,105,1.9047619047619047
99,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,70,13,0.0,1,4.26,0.345,0.1,0.01,0.02,89.55,27.8565,0,2,24,100,2.0
100,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,62,13,0.0,1,0.69,0.375,0.055,0.025,0.005,87.075,27.523249999999997,0,3,18,97,2.0618556701030926
101,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,55,15,0.0,1,1.905,0.145,0.075,0.02,0.005,87.62,29.13,0,2,22,95,2.1052631578947367
102,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,84,13,0.0,1,0.005,0.01,0.06,0.005,0.0,85.515,26.921350000000004,0,2,26,104,1.9230769230769231
103,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,10,105,11,0.0,1,1.095,0.63,0.08,0.015,0.01,88.06,26.882399999999997,0,3,18,98,2.0408163265306123
104,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,39,15,0.0,1,0.0,0.015,0.105,0.02,0.005,90.145,29.0108,1,1,16,99,2.0202020202020203
105,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,61,15,0.0,1,0.005,0.005,0.07,0.045,0.0,86.05,29.912,0,3,21,94,2.127659574468085
106,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,14,96,13,0.14285714285714285,1,4.105,0.455,0.115,0.02,0.02,88.245,27.235,0,2,16,107,1.8691588785046729
107,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,55,16,0.0,1,1.64,0.35,0.12,0.035,0.01,85.49,27.8,0,3,16,100,2.0
108,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,40,13,0.0,1,0.0,0.02,0.035,0.035,0.0,86.52,28.3444,0,2,16,98,2.0408163265306123
109,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,82,15,0.0,1,0.0,0.01,0.06,0.02,0.0,82.865,28.035550000000004,0,2,23,99,2.0202020202020203
110,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,48,15,0.0,1,1.065,0.405,0.07,0.015,0.005,89.74,29.288199999999996,0,3,17,102,1.9607843137254901
111,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,62,16,0.0,1,2.645,0.2,0.09,0.055,0.01,84.955,29.064100000000003,0,1,17,105,1.9047619047619047
112,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,69,14,0.0,1,0.14,0.275,0.07,0.015,0.0,88.435,27.94935,0,2,16,106,1.8867924528301887
113,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,49,16,0.0,1,0.345,0.29,0.085,0.025,0.01,86.795,27.711149999999996,0,23,23,100,2.0
114,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,58,13,0.0,1,1.115,0.435,0.14,0.01,0.01,88.57,26.7058,1,1,17,111,1.8018018018018018
115,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,100,13,0.0,1,0.3,0.535,0.04,0.025,0.0,88.645,28.145,0,1,18,101,1.9801980198019802
116,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,82,15,0.0,1,0.145,0.24,0.075,0.04,0.0,89.54,29.6316,0,3,23,93,2.150537634408602
117,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,9,81,10,0.0,1,1.495,0.35,0.12,0.02,0.01,87.045,28.03275,0,2,19,101,1.9801980198019802
118,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,102,16,0.0,1,0.825,0.215,0.075,0.04,0.005,86.845,29.7205,0,17,18,99,2.0202020202020203
119,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,134,13,0.0,1,1.64,0.285,0.15,0.05,0.02,85.74,29.0,1,1,23,92,2.1739130434782608
120,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,40,16,0.0,1,2.815,0.5,0.065,0.025,0.01,87.915,29.37245,0,12,15,101,1.9801980198019802
121,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,33,16,0.0,1,10.755,0.68,0.065,0.015,0.005,89.415,27.6167,0,1,16,100,2.0
122,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,98,16,0.0,1,1.355,0.365,0.1,0.015,0.01,88.125,26.455,0,2,14,105,1.9047619047619047
123,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,59,16,0.0,1,0.0,0.015,0.045,0.02,0.0,87.375,26.09875,0,14,17,96,2.0833333333333335
124,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,75,15,0.0,1,1.33,0.415,0.06,0.03,0.015,90.915,29.320950000000003,1,1,23,95,2.1052631578947367
125,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,48,13,0.0,1,1.8,0.195,0.125,0.005,0.01,86.555,27.857200000000002,0,1,25,98,2.0408163265306123
126,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,37,14,0.0,1,1.115,0.175,0.115,0.01,0.01,88.195,26.52865,0,1,18,95,2.1052631578947367
127,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,69,15,0.0,1,10.81,0.53,0.055,0.02,0.01,86.045,29.47815,0,19,22,92,2.1739130434782608
128,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,89,16,0.0,1,1.005,0.69,0.075,0.04,0.005,91.96,27.959600000000002,0,1,13,106,1.8867924528301887
129,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,74,16,0.0,1,2.575,0.175,0.08,0.03,0.015,88.595,28.59905,1,2,20,98,2.0408163265306123
130,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,80,14,0.0,1,2.53,0.25,0.095,0.015,0.02,89.58,27.588399999999996,0,3,14,101,1.9801980198019802
131,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,48,15,0.0,1,2.455,0.285,0.145,0.02,0.015,88.195,29.733050000000002,0,4,21,100,2.0
132,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,14,61,13,0.14285714285714285,1,0.09,0.215,0.045,0.02,0.0,90.425,30.000500000000002,0,4,16,100,2.0
133,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,1,15,79,15,0.06666666666666667,1,0.23,0.425,0.085,0.04,0.0,85.455,27.79865,0,13,16,105,1.9047619047619047
134,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,102,14,0.0,1,0.005,0.02,0.04,0.03,0.005,83.275,27.198,1,4,21,97,2.0618556701030926
135,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,42,14,0.0,1,1.05,0.345,0.065,0.015,0.005,87.72,26.9588,0,1,24,92,2.1739130434782608
136,duzentos,0,0,0,1,0,1,0,0,0,1,0,> 2 years,0.0,0,15,109,16,0.0,1,0.41,0.555,0.1,0.02,0.005,87.57,28.5828,0,2,22,98,2.0408163265306123
